OBJECTID,Shape_Leng,Shape_Area,District,County,Sub County,Parish,Village,Region,Pop_2020,HHs_2020
1,3939.716301,656740.0394,Mpigi,Mawokota,Mpigi Town Council,Ward B,Mawonve,Central,,
2,20753.15592,14166122.88,Nakasongola,Nakasongola,Kalongo,Mayirikiti,Mayirikiti,Central,,
3,13306.33435,6179398.025,Kyankwanzi,Kiboga,Bananywa,Lwengo,Kiryabisoli,Central,,
4,8834.064994,2659340.894,Mubende,Kassanda,Kitumbi,Kiguude,Kisalizi,Central,,
5,14775.63744,6257481.389,Mubende,Buwekula,Kitega,Bugonzi,Lukaya,Central,,
6,491.0843422,13351.81101,Kampala,Kampala Capital City,Nakawa,Luzira,Agatti,Central,,
7,6638.010401,2327662.799,Nakaseke,Nakaseke,Semuto,Kikandwa,Mabindi,Central,,
8,7561.109343,3112225.562,Mityana,Busujju,Maanyi,Kivuuvu,Buyuki,Central,,
9,1075.841503,73407.40011,Kampala,Kampala Capital City,Rubaga,Namirembe,Butikiro,Central,,
10,5300.645921,1017257.086,Wakiso,Entebbe Municipality,Division A,Katabi Ward,Katabi Kitubulu,Central,,
11,9678.20803,4366379.006,Rakai,Kyotera,Kabira,Kyanika,Kifuufu,Central,,
12,22851.32675,28729082.61,Kyankwanzi,Kiboga,Bananywa,Mujunza,Kikonda F/r,Central,,
13,7516.387166,2687625.318,Mityana,Mityana,Bulera,Bulera,Lwamba,Central,,
14,1282.223746,78544.03741,Buikwe,Lugazi Town Council,Central Division,Kabowa,Kulubya,Central,,
15,4955.017141,1058400.847,Rakai,Kooki,Kiziba,Mweruka,Kitayiza,Central,,
16,8459.428968,3093520.144,Wakiso,Busiro,Kakiri,Magoggo,Magoggo,Central,,
17,2325.520674,212499.6042,Kampala,Kampala Capital City,Rubaga,Natete,Kivumbi,Central,,
18,6428.96868,2393948.002,Mityana,Busujju,Butayunja,Kitongo,Kkande,Central,,
19,3370.758014,708505.872,Rakai,Kakuuto,Kyebe,Kanabulemu,Bugombe,Central,,
20,32284.57299,17349064.21,Buikwe,Buikwe,Najja,Busagazi,Lake Victoria,Central,,
21,5988.729601,1146421.183,Buikwe,Njeru Municipality,Nyenga Division,Namabu,Namaziba,Central,,
22,4384.358758,1145672.831,Mpigi,Mawokota,Kammengo,Butoolo,Kiryambidde,Central,,
23,11630.57147,5537806.11,Mpigi,Mawokota,Kiringente,Sekiwunga,Sekiwunga,Central,,
24,7826.177379,2429073.714,Bukomansimbi,Bukomansimbi,Bukomansimbi Town Council,Kigungumika,Kigungumika,Central,,
25,5112.664139,1741104.336,Mityana,Mityana,Namungo,Mugulu,Kito (mugulu),Central,,
26,6602.648361,2246556.397,Kiboga,Kiboga,Bukomero,Kyoomya,Kayunga,Central,,
27,5298.034813,1218789.544,Butambala,Butambala,Bulo,Nakatooke,Seeta  Central,Central,,
28,2636.13177,386349.7344,Kampala,Kampala Capital City,Rubaga,Lungujja,Zone 8,Central,,
29,3639.345469,749811.4158,Mityana,Mityana,Ssekanyonyi,Kyetume,Namukomago,Central,,
30,5870.131802,2207070.029,Mityana,Mityana,Bulera,Nalyakanja,Nalyakanja,Central,,
31,8427.886686,2436645.551,Mityana,Mityana,Ssekanyonyi,Bukooba,Kyampisi,Central,,
32,5249.476383,1418778.024,Masaka,Bukoto,Buwunga,Kitengesa,Kidda,Central,,
33,19005.18884,7631509.465,Mubende,Kassanda,Makokoto,Bulyambidde,Gunga Fr,Central,,
34,3695.207582,601727.1262,Mpigi,Mawokota,Mpigi Town Council,Ward D,Mayembe Lower,Central,,
35,6114.923467,1739521.692,Nakasongola,Nakasongola,Kakooge,Kabaale Ward,Kyamasanda,Central,,
36,6458.913652,1858347.298,Kyankwanzi,Kiboga,Wattuba,Masodde,Kayunga,Central,,
37,8003.079875,2613372.963,Lwengo,Bukoto,Lwengo,Nkunyu,Nkunyu,Central,,
38,6357.861083,2127474.44,Kayunga,Ntenjeru,Busana,Kasana,Bugaddu,Central,,
39,9211.642742,4512395.798,Masaka,Bukoto,Kabonera,Bisanje,Bisanje West,Central,,
40,7351.390752,2107348.784,Mubende,Kasambya,Nabingoola,Muyinayina,Kalokalungi A,Central,,
41,7384.554715,3180513.575,Mubende,Kassanda,Makokoto,Makokoto,Kanoga,Central,,
42,292.0098741,4762.521146,Kampala,Kampala Capital City,Kawempe,Makerere University,Daghammersjold,Central,,
43,17887.45235,8370048.61,Buvuma,Buvuma,Busamuzi,Busamuzi,Kilayita,Central,,
44,6420.407163,1215808.796,Mityana,Mityana Municipality,Ttamu Division,Busuubizi,Busuubizi,Central,,
45,6583.438173,2607090.391,Mityana,Busujju,Maanyi,Serinya,Kinoni A,Central,,
46,6550.651866,2522807.063,Mityana,Busujju,Maanyi,Serinya,Kinoni B,Central,,
47,6679.95785,2332720.842,Mukono,Nakifuma,Kimenyedde,Kiwafu,Kimenyedde,Central,,
48,17465.03863,10100572.47,Ssembabule,Mawogola,Lwebitakuli,Lugusulu,Kezinga,Central,,
49,2946.269531,477828.4942,Bukomansimbi,Bukomansimbi,Kibinge,Maleku,Buyoga Trc,Central,,
50,5241.368217,1551834.729,Kayunga,Ntenjeru,Busana,Namukuma,Namukuma,Central,,
51,7267.249777,2416323.182,Mubende,Kasambya,Kasambya,Kabbo,Ngarama,Central,,
52,12068.09454,5037514.04,Lwengo,Bukoto,Lwengo Town Council,Kabarungi Ward,Kiwande,Central,,
53,8083.229642,3009979.967,Mpigi,Mawokota,Mpigi Town Council,Maziba,Maziba,Central,,
54,5197.680471,826722.4807,Lyantonde,Kabula,Kaliiro,Kaliiro,Kajoje,Central,,
55,623.5905792,22969.61458,Kampala,Kampala Capital City,Nakawa,Naguru Ii,Kasenke I,Central,,
56,2698.420891,223872.2461,Kampala,Kampala Capital City,Makindye,Luwafu,Kirundu,Central,,
57,1277.986217,74029.27596,Masaka,Masaka Municipality,Nyendo-ssenyange,Nyendo,Nakayiba A,Central,,
58,1287.925195,99650.43693,Masaka,Masaka Municipality,Nyendo-ssenyange,Nyendo,Nakayiba B,Central,,
59,9788.905227,5742111.362,Buikwe,Lugazi Town Council,Kawolo Division,Luwayo,Bugomba,Central,,
60,21189.01256,12284676.23,Nakasongola,Nakasongola,Nabiswera,Migeera,Wamunkende,Central,,
61,18172.00343,12749459.76,Mubende,Kassanda,Kitumbi,Kiziika,Kiduduma,Central,,
62,9310.703883,3756364.078,Mityana,Busujju,Maanyi,Nfumbye,Kiti,Central,,
63,7698.658421,3497028.106,Wakiso,Busiro,Masulita,Bbale-mukwenda,Bbale-mukwenda,Central,,
64,8689.918123,2765715.017,Gomba,Gomba,Kyegonza,Namabeya,Namabeya A,Central,,
65,11797.64601,8335433.193,Nakasongola,Nakasongola,Kakooge,Kabaale Ward,Mulungi-omu,Central,,
66,5540.742188,1797343.083,Mubende,Kassanda,Kitumbi,Kiguude,Kyengeza (kiguude),Central,,
67,4102.675826,657961.9839,Lyantonde,Kabula,Mpumudde,Nsiika,Kyeirumba A,Central,,
68,6827.054548,1331086.853,Kayunga,Bbaale,Kayonza,Namaliiri,Lugasa East,Central,,
69,2503.748018,365148.0379,Luwero,Katikamu,Nyimbwa,Kalule,Kalule Town,Central,,
70,5808.313328,1966549.519,Wakiso,Busiro,Masulita,Bbale-mukwenda,Wanjeyo,Central,,
71,4716.186837,1025838.555,Rakai,Kakuuto,Kakuuto,Kakuuto,Kakuuto Town,Central,,
72,8127.099681,4058331.258,Ssembabule,Lwemiyaga,Lwemiyaga,Lwessankala,Makukulu,Central,,
73,43786.01384,26672664.16,Wakiso,Busiro,Kasanje,Ssazi,Water,Central,,
74,5191.019451,1560859.425,Kayunga,Ntenjeru,Nazigo,Kimanya,Kyetume,Central,,
75,8275.015207,3465899.303,Mubende,Buwekula,Kitega,Kayebe,Kivera,Central,,
76,4749.979969,1120814.342,Bukomansimbi,Bukomansimbi,Bukomansimbi Town Council,Kyango,Bukango,Central,,
77,6307.78752,2083702.495,Kalungu,Kalungu,Kalungu,Villa Maria,Bbala,Central,,
78,10036.51275,3628537.26,Mubende,Kassanda,Bukuya,Kalaata,Kyabikoola,Central,,
79,8651.636838,4305638.118,Bukomansimbi,Bukomansimbi,Kibinge,Mirambi,Kyambogo,Central,,
80,8328.122965,2344999.158,Wakiso,Busiro,Wakiso,Bukasa,Gombe B,Central,,
81,1901.597623,188277.2751,Kampala,Kampala Capital City,Makindye,Luwafu,Bukejje,Central,,
82,24009.68038,9649063.52,Mpigi,Mawokota,Nkozi,Bukunge,Kitokolo,Central,,
83,6363.618482,1947939.739,Mityana,Mityana,Ssekanyonyi,Bulyankuyege,Kijudde,Central,,
84,44407.276,72212033.18,Nakaseke,Nakaseke,Kinyogoga,Buwana,Buwana,Central,,
85,9888.376874,5742462.628,Ssembabule,Mawogola,Mijwala,Mabindo,Bweyale,Central,,
86,5251.737235,1082180.84,Buvuma,Buvuma,Buvuma Town Council,Buwanga,Bukimera,Central,,
87,6547.367715,2099769.137,Buikwe,Buikwe,Buikwe,Kitazi,Nakikunyu,Central,,
88,19316.58998,10009694.82,Mpigi,Mawokota,Kammengo,Luwala,Kavundu Fr,Central,,
89,7331.363666,1710835.157,Kiboga,Kiboga,Lwamata,Kassejjere,Bujagala,Central,,
90,15938.49119,7829461.071,Kyankwanzi,Kiboga,Butemba,Kiteredde,Kiteredde B,Central,,
91,10971.71946,2950190.462,Mpigi,Mawokota,Mpigi Town Council,Kyali,Bubezi,Central,,
92,10707.87616,4309737.203,Buikwe,Lugazi Town Council,Najjembe Division,Kinoni,Bulyasi,Central,,
93,5189.913325,1683709.05,Mityana,Mityana,Namungo,Kisaana,Nakabazzi,Central,,
94,3916.921157,704291.285,Bukomansimbi,Bukomansimbi,Bigasa,Mbiriizi,Lwemiyaga,Central,,
95,1874.336538,135061.0449,Butambala,Butambala,Gombe Town Council,Gombe,Gombe Hospital,Central,,
96,9476.811628,4658209.01,Kayunga,Bbaale,Kayonza,Balisanga,Nabusanja,Central,,
97,6300.704036,1896018.804,Mityana,Mityana Municipality,Central Division,Katakala,Kansuleti,Central,,
98,8126.703801,3621363.648,Lwengo,Bukoto,Kyazanga,Bijaaba,Buwumuliro,Central,,
99,4808.849649,1091648.442,Mubende,Kasambya,Kasambya,Kabbo,Gayaza (kabbo),Central,,
100,6536.919662,3078097.158,Butambala,Butambala,Bulo,Butawuka,Ndeese,Central,,
101,8650.396373,3279589.194,Buikwe,Lugazi Town Council,Najjembe Division,Kinoni,Kinoni Central,Central,,
102,7385.2769,2612856.57,Luwero,Katikamu,Makulubita,Kasozi,Kabengeredwa,Central,,
103,7235.877138,1803306.632,Mpigi,Mawokota,Mpigi Town Council,Maziba,Membe Makuku,Central,,
104,7543.749902,2970779.715,Mityana,Mityana,Namungo,Mpiriggwa,Nabutaka,Central,,
105,5683.477123,1611410.844,Kalungu,Kalungu,Kyamuliibwa,Kyamulibwa,Kisuula B,Central,,
106,5275.157245,1369612.778,Kalungu,Kalungu,Kyamuliibwa,Kyamulibwa,Kisuula A,Central,,
107,6911.004815,1863217.512,Lwengo,Bukoto,Kisekka,Busubi,Kyetume,Central,,
108,6989.272222,2065588.516,Lwengo,Bukoto,Lwengo,Kito,Bujigo,Central,,
109,1341.265905,96947.64834,Kampala,Kampala Capital City,Makindye,Bukasa,Bukasa,Central,,
110,10500.61055,5801074.112,Kayunga,Bbaale,Kayonza,Namaliiri,Makukulu,Central,,
111,5038.3802,1442600.218,Kampala,Kampala Capital City,Kawempe,Komamboga,Kwata,Central,,
112,7755.120456,3257557.958,Ssembabule,Lwemiyaga,Lwemiyaga,Kakoma,Kiribedda,Central,,
113,3289.950048,615364.8346,Masaka,Masaka Municipality,Nyendo-ssenyange,Ssenyange,Bujjanjeru,Central,,
114,2146.000814,173593.2443,Masaka,Masaka Municipality,Katwe-butego,Katwe Ward,Falkland,Central,,
115,31042.69685,39635358.14,Kyankwanzi,Kiboga,Kyankwanzi,Nteyera,Biroboka,Central,,
116,10550.66407,3706806.759,Rakai,Kooki,Lwanda,Kiyovu,Goosola,Central,,
117,4867.927765,1169118.419,Lwengo,Bukoto,Ndagwe,Mpumudde,Ndagwe,Central,,
118,8631.842637,3250584.552,Kiboga,Kiboga,Kapeke,Kagobe,Naluvule,Central,,
119,10714.4573,3112216.98,Kayunga,Ntenjeru,Kangulumira,Kikwanya,Kyabakadde,Central,,
120,6552.229859,1743285.432,Mukono,Nakifuma,Seeta Namuganga,Namuganga,Namuganga West,Central,,
121,3495.810969,536845.1054,Buikwe,Lugazi Town Council,Central Division,Kawotto,Kawotto I,Central,,
122,1455.045375,82111.479,Kampala,Kampala Capital City,Nakawa,Bukoto I,Makonzi,Central,,
123,4149.580277,880984.6677,Lyantonde,Kabula,Kaliiro,Kabatema,Kigando,Central,,
124,10634.22839,5937742.441,Mityana,Mityana,Ssekanyonyi,Bukooba,Lukingiride,Central,,
125,11433.49645,6824206.009,Mubende,Kasambya,Nabingoola,Nabingoola,Gwanika,Central,,
126,8556.668419,3457572.854,Rakai,Kyotera,Kirumba,Kizibira,Lunyinya,Central,,
127,5837.205548,1318127.919,Nakaseke,Nakaseke,Nakaseke,Mifunya,Sanze,Central,,
128,17925.22661,14739545.53,Kyankwanzi,Kiboga,Nsambya,Kigando,Kikonda  Forest  Reserve,Central,,
129,10707.50711,6580274.787,Nakaseke,Nakaseke,Kikamulo,Lutete,Luteete,Central,,
130,5784.681703,1946526.028,Kayunga,Ntenjeru,Nazigo,Katikanyonyi,Kiwuba,Central,,
131,1577.42676,88807.57445,Kampala,Kampala Capital City,Makindye,Nsambya Central,Institution,Central,,
132,4296.502685,901400.6799,Mityana,Mityana Municipality,Ttamu Division,Busuubizi,Butega-kisaawe,Central,,
133,6382.22822,2132051.786,Kayunga,Ntenjeru,Nazigo,Natteta,Busagazi,Central,,
134,8775.117137,2903818.109,Mukono,Mukono,Ntenjeru,Ntanzi,Mpumu,Central,,
135,9585.536276,4756717.937,Nakasongola,Nakasongola,Nakasongola Town Council,East Ward,Kibengo,Central,,
136,5921.249988,1445849.119,Lwengo,Bukoto,Ndagwe,Ndagwe,Kyabbotoggo,Central,,
137,2226.436687,286857.4716,Kalungu,Kalungu,Kalungu Town Council,Kalungu,Kalungi Tc,Central,,
138,2704.748448,241217.6531,Mityana,Busujju,Kakindu,Kakindu Town Bo,Bukojja,Central,,
139,7021.333116,2293553.033,Rakai,Kooki,Kagamba,Kagamba,Kyakabugema,Central,,
140,5340.064557,1414715.149,Butambala,Butambala,Budde,Lugala,Lugala - Central,Central,,
141,8364.938904,3646739.568,Ssembabule,Mawogola,Lwebitakuli,Kinywamazzi,Kyalwanya,Central,,
142,8508.756797,3826249.311,Mityana,Mityana,Bulera,Bulera,Bunya,Central,,
143,19739.88254,15720141.33,Nakasongola,Nakasongola,Kakooge,Katuugo,Kiralamba,Central,,
144,4340.150397,806137.315,Buikwe,Njeru Municipality,Nyenga Division,Tongolo,Nanso A,Central,,
145,5579.787203,1795481.213,Rakai,Kakuuto,Kasasa,Kabano,Bweregera,Central,,
146,13346.1878,12392176.89,Buikwe,Njeru Municipality,Nyenga Division,Tongolo,Nanso B,Central,,
147,11632.72533,4265818.37,Kyankwanzi,Kiboga,Butemba,Nabitakuli,Bisiiaka,Central,,
148,8781.599784,4625960.693,Gomba,Gomba,Mpenja,Tababbinzi,Kalimumwa,Central,,
149,6267.982227,2053839.623,Lwengo,Bukoto,Lwengo,Nkunyu,Kigusa,Central,,
150,8902.064865,4166113.235,Mubende,Buwekula,Kitega,Kabyuuma,Kyeguluma,Central,,
151,19374.36394,11264808.04,Nakasongola,Nakasongola,Kalongo,Kiswera-mainda,Katuugo,Central,,
152,5725.172415,1512682.055,Luwero,Bamunanika,Kalagala,Kalanamu,Kasampawo,Central,,
153,7559.546819,2501775.084,Kyankwanzi,Kiboga,Mulagi,Bumbiri,Nakimpuli,Central,,
154,18080.69458,14737095.25,Buikwe,Buikwe,Ssi Bukunja,Lugoba,Nalyazi,Central,,
155,10810.17081,5762693.625,Rakai,Kooki,Lwamaggwa,Bugona,Kisamba A,Central,,
156,10302.50963,3152368.493,Rakai,Kooki,Lwamaggwa,Bugona,Kisamba B,Central,,
157,3619.703802,809817.9104,Mpigi,Mawokota,Mpigi Town Council,Bumoozi,Navugulu Forest Reserve,Central,,
158,806.9565717,35506.67207,Kampala,Kampala Capital City,Makindye,Kibuli,Market B,Central,,
159,9430.938054,5993739.726,Luwero,Bamunanika,Kikyusa,Wabusana,Tema,Central,,
160,9044.897642,4415722.579,Luwero,Katikamu,Makulubita,Kanyanda,Namakata,Central,,
161,11777.55261,4568609.523,Luwero,Katikamu,Makulubita,Kasozi,Senga-bugayo,Central,,
162,10856.67277,3223864.077,Nakaseke,Nakaseke,Semuto,Kisega,Nabulo,Central,,
163,18621.18477,15502650.28,Mubende,Buwekula,Kitega,Kagoma,Busepo Fr,Central,,
164,8860.10632,2829380.832,Rakai,Kyotera,Kalisizo Town Council,Central Ward,Kalisizo North,Central,,
165,12981.81498,6124213.55,Kyankwanzi,Kiboga,Kyankwanzi,Banda,Banda A,Central,,
166,6097.325165,1576061.173,Lwengo,Bukoto,Kkingo,Kagganda,Nkarwe,Central,,
167,10914.64265,5431273.968,Masaka,Bukoto,Kyesiiga,Kitunga,Kikonda,Central,,
168,4149.95062,993689.4869,Mityana,Busujju,Malangala,Nabattu,Kantuki,Central,,
169,1788.470295,233552.5908,Buikwe,Njeru Municipality,Nyenga Division,Nyenga,Kinab,Central,,
170,9950.927942,3709071.504,Buikwe,Lugazi Town Council,Najjembe Division,Kabanga,Bugoya,Central,,
171,7689.806949,2286214.891,Rakai,Kooki,Kiziba,Rwesinga,Kibungo,Central,,
172,6109.650672,1459311.014,Buikwe,Njeru Municipality,Nyenga Division,Namabu,Buwagajjo,Central,,
173,12301.91319,8728658.7,Nakasongola,Nakasongola,Lwampanga,Wajjala,Wajjala,Central,,
174,887.0049898,30013.24351,Kampala,Kampala Capital City,Makindye,Kabalagala,Meya,Central,,
175,11295.66442,4918872.001,Mubende,Kassanda,Kitumbi,Kyato,Mavuvumira B,Central,,
176,10862.19398,6174262.219,Mubende,Kassanda,Kitumbi,Kyato,Mavuvumira A,Central,,
177,7837.031072,2810156.229,Rakai,Kakuuto,Kifamba,Kifamba,Kifamba,Central,,
178,8651.9545,4711609.53,Kyankwanzi,Kiboga,Butemba,Misago,Kaswa,Central,,
179,4037.940804,1085238.016,Mukono,Mukono,Nakisunga,Kyabalogo,Ntakafunyu,Central,,
180,7088.312661,2693269.867,Mubende,Kassanda,Myanzi,Myanzi,Kalama (myanzi),Central,,
181,5833.423751,1582068.662,Ssembabule,Mawogola,Mateete,Manyama,Kiteredde,Central,,
182,12112.29221,6298015.912,Gomba,Gomba,Kabulasoke,Bulwadda,Kankolongo,Central,,
183,7813.38153,1535689.637,Mubende,Kassanda,Kitumbi,Bulinimula,Lwengiri,Central,,
184,7340.973734,3175702.483,Mpigi,Mawokota,Kammengo,Kyanja,Bugabo,Central,,
185,5413.731542,1718823.148,Mityana,Busujju,Butayunja,Nakaziba,Kakunyu,Central,,
186,4342.60983,606206.8363,Kayunga,Ntenjeru,Nazigo,Natteta,Old Nazigo,Central,,
187,10080.41126,5225538.681,Mubende,Buwekula,Butoologo,Kituule,Kituule,Central,,
188,7590.543712,2980190.566,Buikwe,Njeru Municipality,Nyenga Division,Kabizzi,Kikwanya A,Central,,
189,6958.609148,1321017.577,Buikwe,Njeru Municipality,Nyenga Division,Kabizzi,Kikwanya B,Central,,
190,3862.937761,638789.4866,Mukono,Nakifuma,Nagojje,Nagojje,Namirembe,Central,,
191,5490.96316,1461586.843,Buikwe,Lugazi Town Council,Kawolo Division,Kiteza,Nama Hill,Central,,
192,5906.449361,2309590.388,Rakai,Kyotera,Lwankoni,Kibutamo,Bugo,Central,,
193,7089.490277,3082450.148,Gomba,Gomba,Kanoni Town Council,Wanjeyo,Nakaye,Central,,
194,7382.602576,3373085.575,Wakiso,Busiro,Kakiri,Magoggo,Zimuddi,Central,,
195,8100.046508,3747918.061,Buvuma,Buvuma,Buwooya,Buwanzi,Kabakungu,Central,,
196,4990.51489,1196988.549,Mubende,Kassanda,Manyogaseka,Ndeeba,Nateete,Central,,
197,7521.101623,2786768.634,Luwero,Katikamu,Katikamu,Musaale,Lukooge,Central,,
198,952.5593868,36551.94812,Kampala,Kampala Capital City,Makindye,Kansanga-muyenga,Nabititi,Central,,
199,8279.61165,3748206.543,Mpigi,Mawokota,Muduuma,Magala,Jimbi,Central,,
200,7715.269348,3661391.847,Wakiso,Busiro,Kakiri,Magoggo,Namagera,Central,,
201,10953.48212,6525319.858,Mubende,Buwekula,Madudu,Naluwondwa,Lulagala,Central,,
202,9364.495561,3408915.796,Ssembabule,Mawogola,Lwebitakuli,Nakasenyi,Kemigina,Central,,
203,8482.514075,1735966.761,Kyankwanzi,Kiboga,Bananywa,Kirimbi,Kirimbi,Central,,
204,5828.156645,2172239.251,Mityana,Mityana,Kikandwa,Wattuba,Wangoma,Central,,
205,12012.58494,6653112.67,Kalungu,Kalungu,Bukulula,Bugonzi,Namwanzi,Central,,
206,12330.21674,7367432.49,Nakaseke,Nakaseke,Semuto,Kirema,Kawomya,Central,,
207,814.4669985,28386.60089,Lwengo,Bukoto,Kisekka,Kinoni Town Board,Central Zone,Central,,
208,28476.12036,45519595.9,Kiboga,Kiboga,Dwaniro,Kakinzi,Kandegeya,Central,,
209,9530.78838,3059620.647,Mubende,Kassanda,Kitumbi,Kiguude,Kasambya (kiguude),Central,,
210,7083.205439,2491530.449,Mukono,Mukono,Nama,Namawojjolo,Buligobe,Central,,
211,16648.01547,16801494.43,Luwero,Bamunanika,Kamira,Kabunyata,Kabunyata,Central,,
212,5481.821623,1795827.251,Mityana,Busujju,Kakindu,Ngugulo,Mayirye B,Central,,
213,6201.608968,1535718.831,Mityana,Busujju,Kakindu,Ngugulo,Mayirye A,Central,,
214,14604.62816,13378715.31,Ssembabule,Mawogola,Lugusulu,Mussi,Lugusulu,Central,,
215,6934.463773,2789982.859,Gomba,Gomba,Kabulasoke,Bulwadda,Kiziiko,Central,,
216,8883.247717,4578670.433,Lwengo,Bukoto,Kkingo,Kagganda,Kyoko,Central,,
217,9312.439095,5173335.598,Ssembabule,Mawogola,Mateete,Mitete,Kanyogoga,Central,,
218,7593.910313,2974507.97,Wakiso,Busiro,Mende,Kaliiti,Nkoowe,Central,,
219,6016.093188,1936290.51,Masaka,Bukoto,Kabonera,Kitanga,Ddegeya,Central,,
220,9414.630592,5002101.723,Buvuma,Buvuma,Buvuma Town Council,Mazinga,Lwekunyi,Central,,
221,7255.42833,2736431.052,Bukomansimbi,Bukomansimbi,Kitanda,Mitigyeera,Biteteero,Central,,
222,1153.390304,58091.28372,Kampala,Kampala Capital City,Kawempe,Bwaise I,Lule,Central,,
223,3206.247603,562938.4287,Mubende,Mubende Municipality,Western Division,Katogo,Makenke,Central,,
224,4658.106745,965091.6659,Mukono,Mukono,Nakisunga,Kyetume,Kazinga,Central,,
225,1861.628178,140767.3539,Kampala,Kampala Capital City,Rubaga,Namirembe,Mulira,Central,,
226,3515.284297,435959.537,Wakiso,Nansana Municipality,Nabweru Division,Maganjo,Kawempe B,Central,,
227,11574.0524,5805125.663,Mityana,Busujju,Banda,Kayanga,Lusalira,Central,,
228,16220.90959,6823905.913,Buikwe,Buikwe,Ngogwe,Ddungi,Lake Victoria,Central,,
229,3454.19234,397614.477,Mpigi,Mawokota,Mpigi Town Council,Ward B,Kyasanku,Central,,
230,5525.212534,1772127.877,Kayunga,Bbaale,Kitimbwa,Kyerima,Kigarama,Central,,
231,1752.152304,114199.2713,Kampala,Kampala Capital City,Nakawa,Nakawa,Vtrs/uwxy/f,Central,,
232,4102.092674,434340.8872,Kampala,Kampala Capital City,Makindye,Kansanga-muyenga,Kiwafu B,Central,,
233,4287.495371,1004504.717,Mukono,Mukono,Kyampisi,Kabembe,Miggo,Central,,
234,7987.686104,2632313.21,Nakaseke,Nakaseke,Kapeeka,Kisimula,Kisimula,Central,,
235,8197.68595,2681643.072,Nakaseke,Nakaseke,Nakaseke,Bulwadda,Nakigulube,Central,,
236,4959.689883,1291377.572,Bukomansimbi,Bukomansimbi,Bigasa,Mbiriizi,Nanfabirye,Central,,
237,7068.675916,1848162.087,Rakai,Kyotera,Kirumba,Buyiisa,Kawule,Central,,
238,31935.86974,23235257.86,Masaka,Bukoto,Bukakata,Makonzi,Jubiya Forest Reserve,Central,,
239,8450.674837,4008821.519,Nakaseke,Nakaseke,Kito,Bugambakimu,Bange,Central,,
240,3947.979207,533440.1627,Buikwe,Buikwe,Buikwe Town Council,Lweru A,Seruti,Central,,
241,6847.960021,2725422.794,Wakiso,Busiro,Kakiri Town Council,Busujja Ward,Kiteredde,Central,,
242,7429.171703,3279087.764,Kyankwanzi,Kiboga,Bananywa,Bananywa,Mailo,Central,,
243,6093.55567,2185821.37,Ssembabule,Mawogola,Mateete,Kayunga,Bukulula,Central,,
244,4304.463095,785985.1494,Wakiso,Entebbe Municipality,Division B,Kiwafu Ward,Kiwafu Central,Central,,
245,5009.129097,1159848.51,Mubende,Kassanda,Manyogaseka,Kyabayima,Kamira,Central,,
246,5246.561938,1351031.292,Wakiso,Nansana Municipality,Gombe Division,Matuga,Lwadda B,Central,,
247,4770.601932,1527783.282,Gomba,Gomba,Maddu,Ntalagi,Kantunku,Central,,
248,7411.935471,3545114.611,Bukomansimbi,Bukomansimbi,Bigasa,Bukango,Kitemi,Central,,
249,943.2484265,56686.72023,Kampala,Kampala Capital City,Makindye,Nsambya Central,Katabira,Central,,
250,10009.75159,6053122.499,Rakai,Kyotera,Kabira,Bisanje,Kiwumulo,Central,,
251,5318.720347,1512141.337,Ssembabule,Mawogola,Lwebitakuli,Kinywamazzi,Binyiri,Central,,
252,9276.325401,4048161.817,Mukono,Mukono,Nakisunga,Kiyoola,Nsonga,Central,,
253,14037.87279,12613839.16,Nakasongola,Buruli,Migeera Town Council,Migeera Central Ward,Nalukonge,Central,,
254,4676.095835,989958.0537,Mubende,Kassanda,Kitumbi,Lugingi,Lugongwe,Central,,
255,23539.23686,19883057.68,Mubende,Buwekula,Kiyuni,Katente,Kigamba,Central,,
256,8406.931756,4382406.327,Mityana,Mityana,Kikandwa,Kikunyu,Kitololo,Central,,
257,11752.76436,3451536.405,Rakai,Kooki,Lwamaggwa,Kabusota,Kabusota B,Central,,
258,7611.219021,2664657.037,Rakai,Kooki,Lwamaggwa,Kabusota,Kabusota A,Central,,
259,7061.825236,2704287.88,Kayunga,Bbaale,Kayonza,Nakyesa,Nakyesa  Iii,Central,,
260,10755.60893,4953053.857,Mukono,Mukono,Ntenjeru,Bunakijja,Lugazi,Central,,
261,4858.866397,1175372.555,Mityana,Busujju,Banda,Buzibazzi,Nabaale,Central,,
262,7368.079563,1495617.485,Mpigi,Mawokota,Kammengo,Muyira,Muyira,Central,,
263,1511.091512,114305.3313,Buvuma,Buvuma,Lubya,Kirewe,Muyenga,Central,,
264,7200.289184,2714588.993,Mukono,Mukono,Nama,Kasenge,Kapeke,Central,,
265,8271.828557,4006767.772,Wakiso,Busiro,Masulita Town Council,Kabale,Kyabumba,Central,,
266,3508.492308,747057.4646,Kampala,Kampala Capital City,Rubaga,Busega,Kitaka Zone,Central,,
267,5415.433756,1368994.033,Wakiso,Entebbe Municipality,Division A,Central Ward,Virus,Central,,
268,13398.77818,7590352.563,Mukono,Mukono,Nakisunga,Namaiba,Katuba-mawa,Central,,
269,7173.354778,2308434.627,Masaka,Bukoto,Buwunga,Mazinga,Butenzi-busaale,Central,,
270,9596.94573,4383038.829,Nakaseke,Nakaseke,Nakaseke,Kasagga,Kasagga,Central,,
