OBJECTID,Shape_Leng,Shape_Area,District,County,Sub County,Parish,Village,Region,Pop_2020,HHs_2020
53026,5779.673207,1416533.366,Kanungu,Kinkizi,Kihiihi Tc,Nyakatunguru  Ward,Nkumbagara,Western,,
53027,4436.021236,694985.4705,Kanungu,Kinkizi,Kihiihi Tc,Nyakatunguru  Ward,Kiruruma,Western,,
53028,5636.306303,866125.846,Kanungu,Kinkizi,Kihiihi Tc,Nyakatunguru  Ward,Kabukwenda,Western,,
53029,4755.594354,928999.3195,Kanungu,Kinkizi,Kihiihi Tc,Nyakatunguru  Ward,Ndeeba,Western,,
53030,4542.250625,923793.6542,Kanungu,Kinkizi,Kihiihi Tc,Nyakatunguru  Ward,Kinyamashe,Western,,
53031,5903.875631,1666355.241,Kanungu,Kinkizi,Nyakinoni,Samaria,Bushogye A,Western,,
53032,5624.911617,1265596.055,Kanungu,Kinkizi,Nyakinoni,Kanyambeho,Kanyambeho,Western,,
53033,5771.394131,1659403.75,Kanungu,Kinkizi,Nyakinoni,Nyakinoni,Mpangango,Western,,
53034,6286.209696,1738799.875,Kanungu,Kinkizi,Nyakinoni,Samaria,Nyakashure,Western,,
53035,5003.131152,923843.8242,Kanungu,Kinkizi,Nyakinoni,Samaria,Samaria,Western,,
53036,5211.019941,1318899.299,Kanungu,Kinkizi,Nyakinoni,Samaria,Kiruruma,Western,,
53037,6563.320872,1575261.721,Kanungu,Kinkizi,Nyakinoni,Samaria,Nyakarambi,Western,,
53038,5158.361781,1318078.554,Kanungu,Kinkizi,Nyakinoni,Samaria,Bushogye B,Western,,
53039,4959.379408,1227674.54,Kanungu,Kinkizi,Nyakinoni,Kanyambeho,Nyakayanga,Western,,
53040,3192.058932,399906.8496,Kanungu,Kinkizi,Nyakinoni,Kanyambeho,Nyakahita,Western,,
53041,4955.039847,1433346.152,Kanungu,Kinkizi,Nyakinoni,Kanyambeho,Kasiro,Western,,
53042,5870.757196,1143708.511,Kanungu,Kinkizi,Nyakinoni,Kanyambeho,Buruhukiro,Western,,
53043,4693.062112,1309242.213,Kanungu,Kinkizi,Nyakinoni,Karubeizi,Rwangoboka,Western,,
53044,5256.884393,1682947.341,Kanungu,Kinkizi,Nyakinoni,Karubeizi,Nyamiyaga,Western,,
53045,4024.64,836553.7778,Kanungu,Kinkizi,Nyakinoni,Karubeizi,Omukirwa,Western,,
53046,3832.261149,893719.6225,Kanungu,Kinkizi,Nyakinoni,Karubeizi,Omukibungo,Western,,
53047,4493.838828,731821.7783,Kanungu,Kinkizi,Nyakinoni,Karubeizi,Rwamahamba,Western,,
53048,4892.630144,1171714.706,Kanungu,Kinkizi,Nyakinoni,Karubeizi,Nyambale,Western,,
53049,8357.174532,2629385.021,Kanungu,Kinkizi,Nyakinoni,Karubeizi,Kamushwa,Western,,
53050,4473.559444,1140466.571,Kanungu,Kinkizi,Nyakinoni,Karubeizi,Buhumiriro,Western,,
53051,7297.431928,1588257.635,Kanungu,Kinkizi,Nyakinoni,Karubeizi,Muruhura,Western,,
